text,title,url
"Det hvisker om Foraar ude i Lund;
Men den store Bøg faar endnu et Blund.


Huset er vasket og tørret igjen;
Det mærker den ikke, den sover end.


Paa Gulvet er Blomstertæppet alt bredt;
Men end har den Intet hørt eller set, —


End ikke, at Husets yngste Smaa
Er alt i Stadsen og helt klædt paa:


Hvidklædt er Slaaen, og silkegrøn
Staaer Hæg og Hvidtjørn og Hyld og Røn.


Da gaar gjennem Skoven et Pust med Et,
Og Bøgen plirer med Øiet lidt.


Den skotter ned til den mindste Tjørn,
— „Hvad Pokker, er I alt vaagne, Børn?


Men hvem har dog hjulpet jer Kjolerne paa?”
„Det har Solen gjort!” ler alle de Smaa.

",Ernst von der Recke: “Det hvisker om Foraar ude i Lund” from Spredte Blomster (1885),https://kalliope.org/en/text/reckee2019081704
"Hvor malte du smukt i de unge Aar!
dine Lærreders duggede Druer
og duftige Roser — en Blomstervaar,
som hos Vennerne endnu vi skuer.


De mange Venner, der kommer og gaar,
disse Kunstnere med deres Fruer,
saamange, at ofte de Snesen naar,
de holdt Mandjævning i dine Stuer.


De kom der og roste dig en og hver,
der var Malere, ja, Virtuoser,
dog husker jeg en Kineser især,
der var elskelig ukendt med Gloser.


Han sagde blot: »Ah!« og suged sit Vejr
for at antyde Duften af Roser.

",Aage Matthison-Hansen: “Fru Hanne Matthison-Hansen” from Slyngrose (1915),https://kalliope.org/en/text/matthison2019051532
"Kom, lad os tømme en Skaal for den Brave
som os hidkaldte med vennehuld Røst!
han i vort Bæger giød Druernes Gave:
gid aldrig selv han maa savne dens Trøst!


See, hvor den herligste Viin fra sin Kielder
hierteglad-giæstmild han henter os op,
og sine Fade saalænge han hælder
til hver en Draabe deri har sagt: Stop!


Lystig til det over Bredderne flyder
skienker han flittig i Giæsternes Glas;
den, som iblandt os, ham inderligst fryder,
er den, som først paa sin Flaske faaer Has.


For at han ikke skal Ondt om os tænke,
og for at vise, enhver er hans Ven,
vil vi af Flasken i Glassene skienke,
klinke og drikke og skienke igien!


Skaalen skal gielde Huusfaderens Hæder;
modtag den, Ven, som den ærlig er meent!
Gid Du, som deler med os Dine Glæder,
høste den Løn Du har stedse fortient!

",N.T. Bruun: “Vertens Skaal” from Bacchus og Comus (1814),https://kalliope.org/en/text/bruunnt2018122051
"„Natten lang
Dands og Sang
Til Musik og Bægerklang!”
Det for Dig er Livets Gang.

",H.C. Andersen: »Natten lang« fra af H. C. Andersens Samlede Skrifter (1879),https://kalliope.org/da/text/andersen2003010506
"Der gik hun; som en svævende Dryade
    Hun kom og svandt bag tykke Lindestammer,
    Og hendes Skjønheds bølgelette Flammer
    Mildt blussed i Gevandtets Rosenblade.
Og Øjnene saa frem, uskyldig glade, —
    O Blik, som Mod og Sans paa een Gang lammer!
    Men sænktes strax, som anende den Jammer,
    Den Sorg, hvori sig mine Tanker bade.
Vemods Kaskade, som min Sjæl bedugged,
    Skal aldrig du til Glædens Harmoni
    Dig hæve? vil min Ro du evig hade? —
„Stands blot et Øjeblik!” jeg sagte sukked,
    Dog ubønhørlig, i det fjærne, fri
    Svandt Alfen i Gevandtets Rosenblade.


Kun Duften blev tilbage; som et Minde —
    Hin Aande fra en overjordisk Sfære,
    Der under Tvivl og Kamp dog veed at nære
    Det hellige, saa det kan ej forsvinde
Af Støvets Bryst: — lig Nordens kolde Vinde,
    Som Livet kun en Vinterstund fortære;
    Men Vaaren bryder frem med Duft og Ære,
    Og fromme Tanker atter mildt oprinde.
Ak ingensinde skal jeg her i Livet
    Dig selv tilhviske, hvad der lever inde
    Tavst i min Hu: — men, naar det kun er givet
Mit Blik dit Billed stundum her at finde,
    Om og i Stormen tidt jeg ligner Sivet,
    Det hellige hos mig skal ej forsvinde.

",P.L. Møller: “Det Hellige” from Lyriske Digte (1840),https://kalliope.org/en/text/moellerpl20171228141
"Hvad lyder høit paa første Pindsemorgen?
Der er et mægtigt Orgel jo i Borgen.
Her, hvor mit Kammer vender ud til Gangen,
Mig møde Psalmelyd og Kirkesangen.
                Skiønne Toner,
                Velbekiendte,
                Himlens Zoner
                Dem udsendte
Fra Udødeligheds Lande,
Trøst for Jordens Skyggestrande.


Ja — Lyden er ei Phantasiens Foster;
Thi Slottet var i gammel Tid et Kloster,
Og derfor Kirken, som man den har funden,
Endnu med Slottets Gang er nær forbunden.
                Ind jeg træder.
                Siæl og Øre
                Orglet glæder.
                Jeg kan høre
Tonerne, som blev tilbage
Fra min Barndoms første Dage.


Man siger: Intet snelt, som Tonen, svinder,
At det gaaer den, som Kilden, der bortrinder,
At det gaaer den, som Rosen i sin Sommer:
Den visner snarlig, og en anden kommer.
                Nei! den samme.
                Som min Flamme
                Først antændte,
                Atter vendte
Uforandret her tilbage
For min Trøst og for min Klage.


Os om en hellig Biskop Saxo melder;
Om Tonen det, som om hans Liigdragt, gielder:
Den samme Duft, da Seklet var henrundet,
Som i hans Hauge, blev i Kisten fundet.
                Saadan høres
                Ogsaa Klangen;
                Saa hidføres
                Atter Sangen;
Lange Taushed ei den matter,
Martsviolen dufter atter.


Livsalig Pindsefest! igien du hyldes;
Den aandelige Lyst dig ene skyldes,
Og Siælens Mai saa grønt, paa Englevinger,
I Kirkens Skyggehvælvinger udspringer.
                Kiærlighedens
                Roser rødme
                Nu med Edens
                Bedste Sødme.
Som en Taare Kilden rinder,
Frelser! paa dit Livs Kiærminder.


Fra den Tid Lotte bares bort paa Baaren,
Er Kirken vorden mig saa kiær, som Vaaren.
Jeg synes: mig den Salige besøger
I Herrens Huus; og det min Tro forøger.
                Hulde Sommer!
                Ned i Vrimlen
                Englen kommer
                Hist fra Himlen,
Smiler kiærlig til sin Fader
I de gamle Stolestader.


Hun sidder der, hvor Skyen sig udfolder,
Som Raphaels Engel, Nodebogen holder.
Som Gyldenlok jeg seer om Skuldren flakke
Den Fletning, som vi skar af Ligets Nakke.
                Og fra oven —
                O, Beethoven! —
                Haabet lyder.
                Hun udbryder:
„Stiernen er mig ei forsvundet,
Fiernt først, fiernt har jeg den fundet.”


Min Faders Aand paa Orgelet jeg hører.
Mig tykkes: det er den, som Tonen fører.
Saaledes er jeg her ei længer fremmed:
Hvor Kirken er og Graven — der er Hiemmet.

",Adam Oehlenschläger: “Pindsefesten” from Poetiske Skrifter (1860),https://kalliope.org/en/text/oehlenschlaeger2019021820
"Det var sig Herr Asker Ryg,
Hannem lyster i Leding at gange;
Først træder han i den Kirke liden,
At høre de Ottesange.


Muren var af det gule Leer,
Og Taget det sorte Straa;
Det var sig Herr Asker Ryg,
Misnøiet han saae derpaa.


Det var sig Herr Asker Ryg,
Sit Hoved maatte han bøie;
Loftet det var saa meget lavt,
Og Kæmperne vare saa høie.


Væggen var baade muggen og grøn,
Den havde saa dyb en Revne;
Tiden æder med skarpen Tand,
Saa lidet monne hun levne.


Fort hun gnaver med skarpen Tand,
Dertil hun haver stor Drift;
Alt da voxte den liden smaa Blomst
Udi den Kirkerift.


Alt da snoede den grønne Humle
Sig ad den Kirkeside.
Storken sidder udi Redet strunk,
Og seer hun ud saa vide.


Og hør du, kiere Fru Inge!
Du est en Qvinde saa puur!
Ei sømmer det sig at bede til Gud
I sligt brøstfældigt Skuur.


Vinden blæser udi Kirken ind,
Og Regnen ned maa dryppe.
Christus er steget til Himmelens Sal,
Han nøies ei meer med en Krybbe.


Hør du allerkiæreste Hustru min,
Jeg siger dig det forsand:
Op skalt du bygge Kirken af ny,
Mens jeg er dragen af Land.


Taget du dække med røde Tegl,
Af Steen du føre den Muur;
Ned da skalt du rive saa brat
Det usselig Kirkeskuur.


Tage du saa mit Skarlagenskind,
Af Fløiel det vel maa være;
Alt til et Alterklæde skiønt
Du snildelig saa det skiære.


Det var sig Fru Inge,
Hun svared sin Husbond med Ære:
Som I siger, min ædelig Herre!
Saa bør det vel sig være.


Hør du kiære Fru Inge!
Gud haver velsignet dit Liv,
Føder du mig en Søn saa bold,
Da est du en Danneviv.


Føder du mig saa bold en Søn,
Da giør du mig Tankerne glade;
Føder du mig en Dotter skiøn —
Jeg vil hende ikke hade.


Hør du kiære Fru Inge!
Du est en Qvinde velbaarn,
Føder du mig en Søn saa bold,
Da bygge du Kirken et Taarn.


Føder du mig en Dotterlil,
Da sætte Du kun et Spiir;
Ridderen kneiser saa stout og stolt,
Men Qvinden er Ydmyghed Ziir.


Det var sig Herr Asker Ryg,
Han beder sadle sin Hest,
Saa rider han i det Ledingstog,
Som til en Brudefest.


Tredive vare hans Svende,
Og alle med Brynier nye;
Hvor han stædtes i Kampen hen
De Fiender brat monne flye.


Det stod hen udi Uger,
Ja vel udi Maaneder ni;
Det var sig Herr Asker Ryg
Han seired i alle di.


Det var sig den gievelig Helt,
Hannem lyster nu hiem at fare;
Hielmene var af hin røde Guld.
Hannem fulgte saa faur en Skare.


Der han drog igiennem den Skov,
Da fulgte ham tredive Svenne;
Der han kom til Finnesløvlille,
Da reed den Herre allene.


Solen skinner om Morgenen rød,
Og Røgen falder paa Græs,
Det var sig Herr Asker Ryg,
Han spored saa vel sin Hest.


Satte den Herre Guldkringlen
Dybt udi sin Gangers Side.
Det vil jeg for Sandheden sige,
Hans Tanker løbe saa vide.


Over den gule Hvedemark
Der kneiser en Bakke grøn,
Bag ved ligger Finnesløvlil,
En Bye vel stor og skiøn.


Det var sig Herr Asker Ryg,
Han bad vei ved vor Frue:
Give det Gud i Himmerig,
At jeg et Taarn maatte skue.


Det var sig Herr Asker Ryg,
Saa listelig da han loe,
Der han kom paa den grønne Brink,
Da han skued’ Taarne to.


Over den Kirke stoltelig
De kneised’ i Luften blaa.
Lærken sang i den Hvedemark,
Mens Solen skinte derpaa.


Tak have stolten Fru Inge!
Hun var en Danneviv;
Hun skienkte sin Husbond Sønner to
Til Gammen og Tidsfordriv.


Den første af de Sønner to
Den kaldte han Esbern Snare,
Han blev saa stærk som den vilde Bas,
Og mere snel end en Hare.


Den Anden kaldte han Axel,
Han blev en Biskop from;
Han brugte sit gode danske Sværd,
Som Paven sin Stav i Rom.


Falden er nu det ene Taarn,
Og Krattet voxer af Gruus;
Axel og Esbern Snare
De taarne det danske Huus.


Mosset dækker den gamle Steen
Alt over hin sorten Jord;
Axel og Esbern Snare
De hæve sig høit i Nord.


Styrte vil snart det andet Taarn
Alt i den Kirkeby;
Axel og Esbern Snare
De kneiser i evigt Ry.


Christ signe den ædelig Danneqvinde!
Hun hvilis for Altret i Kirke,
Hun satte tvende mægtige Taarne
Paa Dannemarks Dannevirke.


Hil være den Kæmpe, som seierriig
Hiemdrager med stolten Skare,
Og finder i Vuggen Tvillinger to,
Som Axel og Esbern Snare!

",Adam Oehlenschläger: “De tvende Kirketaarne” from Digtninger I (1811),https://kalliope.org/en/text/oehlen1999062840
"Nu vaagner paa Grene til Hvisken hver Sisken
        og Dompap og Stær
og Irisk og Mejs’ og Musvit og den øvrige
        kvidrende Hær;
først snakkes der sammen om Vind og om Vejr,
de Sager de ligger jo Smaafolk saa nær;
men eftersom Taagerne svinder, og Solen
        til Frembrud gør Tegn,
saa stiger en jublende Trille mod Himlen
        til Tak, at det ikke blev Regn.


Endnu har Naturen ej ombytted Morgenens
          Flors Negligé;
det er, som om Engnymfen vimsed i Skørternes
        Bølge-Plisé;
saa stryger hun Haaret fra Kinden og sætter det
        op med en Kam,
og staar i den bleggrønne Robe og sér sig
        i Vandmøllens spejlblanke Dam.


Det sér ej den Møller, som tumler derinde
        ved Kværn og ved Drev,
ej Møllerens Kone, som bærer til Smaakræet
        Mad i en Slev,
paa Vinden og Vejret det kommer ej an,
thi Møllen den maler, naar blot der er Vand;
men Møllerens Søn, som til Præst skulde læse,
        men næppe blev Degn,
han skriver et morgenfriskt Vers til den Nymfe,
        der skærmer hans Fødestavns Egn.

",Holger Drachmann: »Morgen« fra Dybe Strenge (1884),https://kalliope.org/da/text/drachmann2017112312
"Himmelske Lyd! som en Engel med Vinger
Flyver usynlig fra Gud du til Jord;
Trøsten du stærk den Bedrøvede bringer,
Glæden ved dig vorder dobbelt saa stor.
Oldingen lytter — Erindringen klinger
I dine mægtige, rolige Chor.
Haabet ved dig sig til Barndommen svinger,
Smiler igiennem det dæmrende Flor.
Himmelske Lyd! din Almagt vi hylde,
Dig de uskyldige Glæder vi skylde,
Vær da vor Tolk, hvor ei Læben har Ord,
Følg os i Livet, vær stedse tilstede,
Lee med vor Munterhed, smiil, naar vi græde!
Maatte vor Røst, ei uværdig din Ynde,
Enes, Erato! med liflige Klang;
Lær vore barnlige Stemmer forkynde
Danemark Tak, som os vied til Sang.
Himmelske Lyd! som en Engel med Vinger
Flyver usynlig fra Gud du til Jord;
Haabet ved dig sig til Barndommen svinger,
Smiler igiennem det dæmrende Flor.
Himmelske Lyd! din Almagt vi hylde,
Dig vore reneste Glæder vi skylde,
Vær da vor Tolk, hvor ei Læben har Ord.

",Adam Oehlenschläger: »Sang for Musikconservatoriet« fra Poetiske Skrifter (1860),https://kalliope.org/da/text/oehlenschlaeger2019021665
"Hvorfor er Vejen vel saa smal
til Himmeriges høje Sal?
For at jeg ej skal sovne ind,
som laa jeg under grønne Lind!


Den er saa trang, den er saa smal,
at jeg skal vogte mig for Fald,
og kaste alle Byrder af,
som kunde vælte mig i Grav, —


og ræddes for den dybe Elv,
og ikke lide paa mig selv,
men længes efter Ledebaand,
og række efter Herrens Haand!


Den er saa trang, den er saa smal,
den Vej til Himlens høje Sal,
fordi den kun skal rumme to:
min Gud, og saa mit Hjertes Tro.

",Christian Richardt: »Den trange Vej« fra Anden Deel (1895),https://kalliope.org/da/text/richardt2019073162
